ResponseId,MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat
82,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Apples,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp",Technical documentation;Written Tutorials;Stack Overflow;Video-based Online Courses;Certification videos,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,12,9,"Developer, full-stack",,,,,,Finland,,,Go;HTML/CSS;JavaScript;Python;TypeScript,Go;HTML/CSS;JavaScript;Python;TypeScript,Go;HTML/CSS;JavaScript;Python;TypeScript,Dynamodb;PostgreSQL;SQLite,PostgreSQL,PostgreSQL,Amazon Web Services (AWS),,,Next.js;Node.js;React;Svelte,Next.js;Node.js;React;Svelte,Next.js;Node.js;React;Svelte,,,,,,,Ansible;Docker;Homebrew;Kubernetes;Make;npm;Pip;Terraform,Ansible;Docker;Homebrew;Kubernetes;Make;npm;Pip,Ansible;Docker;Homebrew;Kubernetes;Make;npm;Pip,Visual Studio Code,Visual Studio Code,Visual Studio Code,Debian;Other Linux-based;Ubuntu;Windows,Debian;MacOS;Other Linux-based;Ubuntu,Asana;Markdown File,Linear;Markdown File,Markdown File,Google Meet;Microsoft Teams;Telegram;Whatsapp;Zoom,Google Meet;Microsoft Teams;Telegram,Google Meet;Microsoft Teams;Telegram,GitHub Copilot,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,Quickly finding code solutions;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers,Neutral,Yes,Unsure,Increase productivity;Greater efficiency,Somewhat distrust,Bad at handling complex tasks,Learning about a codebase;Writing code;Documenting code;Committing and reviewing code;Generating content or synthetic data,Debugging and getting help;Testing code;Deployment and monitoring;Predictive analytics;Search for answers,Project planning,,Learning about a codebase,Writing code;Documenting code;Committing and reviewing code;Generating content or synthetic data,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools",Yes,Individual contributor,13.0,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,1-2 times a week,6-10 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,Amount of technical debt;Complexity of tech stack for deployment;Complexity of tech stack for build,Automated testing;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Too long,Neither easy nor difficult,,7.0
152,I am a developer by profession,35-44 years old,"Not employed, and not looking for work",,Apples,,Some college/university study without earning a degree,"Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;How-to videos;Video-based Online Courses,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,22,22,"Developer, front-end",,,,,,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,MacOS,Debian;MacOS;Windows;Other (please specify):,,,,,,,ChatGPT,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"Yes, somewhat","No, but I plan to soon",Unsure,,,,,,,,,,,,I'm not sure,Replacing jobs without options for new employment opportunities;Imitating a person's likeness,Don’t trust the output or answers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,,
777,I am a developer by profession,45-54 years old,"Employed, full-time",Remote,Apples,Hobby,Some college/university study without earning a degree,"On the job training;Other online resources (e.g., videos, blogs, forum, online community);Other (please specify):",Blogs;Stack Overflow,,38,27,"Developer, full-stack",100 to 499 employees,I have little or no influence,Start a free trial,,Other:,Finland,EUR European Euro,79000.0,Bash/Shell (all shells);Java;SQL,Java,Java,IBM DB2;PostgreSQL,,,Microsoft Azure,,,,,,,,,,,,Maven (build tool),,,Eclipse;IntelliJ IDEA;Notepad++;Vim,,,Windows,Red Hat;Windows,Confluence;Jira,,,Microsoft Teams,,,,,,Stack Overflow,Multiple times per day,Yes,Multiple times per day,Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, definitely","No, and I don't plan to",,,,,,,,,,,,,,,,Yes,Individual contributor,28.0,Strongly agree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,3-5 times a week,3-5 times a week,3-5 times a week,30-60 minutes a day,15-30 minutes a day,Amount of technical debt;Number of software tools in use;Complexity of tech stack for deployment,DevOps function;Automated testing,Hybrid (on-prem and cloud),"Do search of internal share drives/storage locations for documentation (i.e., not a structured knowledge base)",Banking/Financial Services,0.0,0.0,0.0,50.0,0.0,10.0,40.0,0.0,0.0,Too long,Neither easy nor difficult,84851.0,7.0
800,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;How-to videos,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,10,8,"Developer, game or graphics",100 to 499 employees,I have some influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Out-of-the-box is ready to go with little need for customization,APIs;Customization;Reputation for quality and excellence;Frequent updates to features;Connected to an open source project,Finland,EUR European Euro,43000.0,C#;HTML/CSS;Python,C#;HTML/CSS;Python,C#;HTML/CSS;Python,,,,Google Cloud,Google Cloud,Google Cloud,Node.js,Node.js,Node.js,,,,.NET (5+) ,.NET (5+) ,.NET (5+) ,Unity 3D;Webpack,Unity 3D;Webpack,Unity 3D;Webpack,Notepad++;PyCharm;Visual Studio;WebStorm,Notepad++;PyCharm;Visual Studio;WebStorm,Notepad++;PyCharm;Visual Studio;WebStorm,Windows,Windows,Monday.com;Trello,Trello,Trello,Microsoft Teams;Slack,Microsoft Teams;Slack,Microsoft Teams;Slack,ChatGPT;WolframAlpha,ChatGPT;WolframAlpha,ChatGPT;WolframAlpha,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,"No, not really",Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning;Make workload more manageable;Other (please specify):,Neither trust nor distrust,Bad at handling complex tasks,Writing code;Generating content or synthetic data,Learning about a codebase;Documenting code;Debugging and getting help;Testing code;Search for answers,Project planning;Committing and reviewing code;Deployment and monitoring,,Generating content or synthetic data,Writing code,,,No,Circulating misinformation or disinformation;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools",Yes,Individual contributor,8.0,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Strongly disagree,Never,1-2 times a week,,15-30 minutes a day,Less than 15 minutes a day,Amount of technical debt;Tracking my work;Showing my contributions;Reliability of tools/systems used in work,None of these,Cloud only (single or multi-cloud),Traditional public search engine,Healthcare,0.0,5.0,0.0,30.0,20.0,10.0,30.0,5.0,0.0,Appropriate in length,Neither easy nor difficult,46185.0,5.0
877,I am a developer by profession,45-54 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Blogs;Stack Overflow;How-to videos;Video-based Online Courses,,35,25,"Developer, desktop or enterprise applications","10,000 or more employees",I have some influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Is ready-to-go but also customizable for growth and targeted use cases,Customization;Reputation for quality and excellence;Frequent updates to features,Finland,EUR European Euro,75000.0,C#;C++;PowerShell;SQL,C#;C++;PowerShell;SQL,C#;C++;PowerShell;SQL,Microsoft SQL Server;Snowflake,Cosmos DB;Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Microsoft Azure,,,,,,,.NET (5+) ,.NET (5+) ,.NET (5+) ,Make,,,Visual Studio;Visual Studio Code,Visual Studio Code,Visual Studio Code,Windows,Windows,,,,IRC;Microsoft Teams;Slack,IRC;Microsoft Teams;Slack,IRC;Microsoft Teams;Slack,GitHub Copilot,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,Finding reliable guidance from community-vetted answers,"Yes, definitely",Yes,Favorable,Increase productivity;Greater efficiency;Improve accuracy in coding,Somewhat trust,Neither good or bad at handling complex tasks,Writing code,Learning about a codebase;Documenting code;Debugging and getting help;Committing and reviewing code,Project planning;Testing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,,,Writing code,,,I'm not sure,Circulating misinformation or disinformation;Replacing jobs without options for new employment opportunities;Imitating a person's likeness,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Not everyone uses them",Yes,Individual contributor,25.0,Strongly agree,Agree,Disagree,Strongly disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Never,6-10 times a week,1-2 times a week,15-30 minutes a day,15-30 minutes a day,Amount of technical debt,DevOps function;Automated testing;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Appropriate in length,Neither easy nor difficult,80555.0,7.0
878,I am a developer by profession,18-24 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",Remote,Apples,Hobby;Contribute to open-source projects,Some college/university study without earning a degree,"Other online resources (e.g., videos, blogs, forum, online community);Coding Bootcamp",Technical documentation;Stack Overflow;Social Media,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,12,6,"Developer, back-end","1,000 to 4,999 employees",I have some influence,Ask developers I know/work with;Visit developer communities like Stack Overflow,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Reputation for quality and excellence;Connected to an open source project,Finland,EUR European Euro,223000.0,Bash/Shell (all shells);Go;JavaScript;Python;SQL;TypeScript,Go;Python;SQL;Zig,Go;Python;SQL,BigQuery;PostgreSQL;SQLite,PostgreSQL;SQLite,PostgreSQL;SQLite,,,,,,,,,,Electron,,,Ansible;Docker;Pip;Yarn,Docker;Pip,Docker;Pip,Goland;Nano;PyCharm;WebStorm,Goland;Nano;PyCharm;WebStorm,Goland;Nano;PyCharm;WebStorm,Android;iPadOS;Ubuntu,Android;iOS;MacOS;Ubuntu,Linear;Notion,,,Matrix;Zoom,Matrix,Matrix,GitHub Copilot,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,Neutral,Yes,Favorable,Increase productivity;Greater efficiency,Somewhat distrust,Bad at handling complex tasks,Writing code,Documenting code;Testing code,Learning about a codebase;Project planning;Debugging and getting help;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,,Writing code,,,,No,Missing or incorrect attribution for sources of data,,Yes,Individual contributor,6.0,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Agree,1-2 times a week,1-2 times a week,Never,15-30 minutes a day,15-30 minutes a day,Amount of technical debt,Knowledge sharing community;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,Software Development,10.0,30.0,10.0,15.0,10.0,15.0,5.0,0.0,5.0,Appropriate in length,Easy,239516.0,10.0
1214,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Contribute to open-source projects;Bootstrapping a business;School or academic work;Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)","Technical documentation;Blogs;Written Tutorials;Coding sessions (live or recorded);Social Media;How-to videos;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Auditory material (e.g., podcasts)",User guides or README files found in the source repository,15,12,Engineering manager,100 to 499 employees,I have a great deal of influence,Other (please specify):,Is set up to be customized and needs to be engineered into a usable product,Customization;Reputation for quality and excellence;Frequent updates to features,Finland,EUR European Euro,108000.0,C;C#;C++;Clojure;HTML/CSS;Java;JavaScript;Lua;PHP;Python;Rust;SQL,C++;Elixir;Erlang;Go;HTML/CSS;JavaScript;Lua;Python;Rust;SQL;Zig,C++;HTML/CSS;JavaScript;Lua;Python;Rust;SQL,Cosmos DB;Dynamodb;Elasticsearch;Firebase Realtime Database;InfluxDB;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite;Supabase,Dynamodb;Elasticsearch;Firebase Realtime Database;InfluxDB;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite;Supabase,Dynamodb;Elasticsearch;Firebase Realtime Database;InfluxDB;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite;Supabase,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Heroku;Hetzner;Netlify;Vercel,Amazon Web Services (AWS);Cloudflare;Hetzner,Amazon Web Services (AWS);Cloudflare;Hetzner,Angular;AngularJS;ASP.NET;ASP.NET CORE;Astro;Deno;Elm;FastAPI;Htmx;Laravel;NestJS;Next.js;Node.js;Nuxt.js;React;Remix;Svelte,Astro;Elm;FastAPI;Htmx;Laravel;NestJS;Nuxt.js;React;Remix;Svelte,Astro;Elm;FastAPI;Htmx;Laravel;NestJS;Nuxt.js;React;Remix;Svelte,Arduino;CMake;Cargo;MSVC;Rasberry Pi,Arduino;CMake;Cargo;Rasberry Pi,Arduino;CMake;Cargo;Rasberry Pi,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Apache Kafka;DirectX;Electron;NumPy;OpenGL;Qt;React Native;SwiftUI;Tauri;TensorFlow,OpenGL;React Native;SwiftUI;Tauri,OpenGL;React Native;SwiftUI;Tauri,Bun;Composer;Docker;Homebrew;Kubernetes;Make;Maven (build tool);Nix;npm;Pip;pnpm;Terraform;Vite;Webpack;Yarn,Bun;Composer;Docker;Kubernetes;Make;Nix;Pip;pnpm;Terraform;Vite,Bun;Composer;Docker;Kubernetes;Make;Nix;Pip;pnpm;Terraform;Vite,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Neovim;Netbeans;Notepad++;PhpStorm;PyCharm;Qt Creator;Visual Studio;Visual Studio Code;WebStorm;Xcode,Neovim,Neovim,Arch;iOS;iPadOS;MacOS;Other Linux-based,Arch;iOS;iPadOS;MacOS;Other Linux-based,Asana;Azure Devops;Confluence;GitHub Discussions;Jira;Linear;Lucid;Markdown File;Notion;Obsidian,GitHub Discussions;Linear;Markdown File;Notion;Obsidian,GitHub Discussions;Linear;Markdown File;Notion;Obsidian,Cisco Webex Teams;Discord;Signal;Skype;Slack;Whatsapp,Slack;Whatsapp,Slack;Whatsapp,,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Finding reliable guidance from community-vetted answers;Learning new-to-everyone technology/techniques,Neutral,Yes,Favorable,Other (please specify):,Somewhat distrust,Bad at handling complex tasks,,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code,Project planning;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,,,,,,No,Missing or incorrect attribution for sources of data;Energy demand,"AI tools lack context of codebase,  internal architecture, and/or company knowledge",Yes,People manager,13.0,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,1-2 times a week,10+ times a week,3-5 times a week,Less than 15 minutes a day,30-60 minutes a day,Amount of technical debt;Maintaining security of code being produced;Maintaining security of systems/platforms used in work,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Other:,Other:,10.0,4.0,4.0,9.0,30.0,9.0,9.0,10.0,15.0,Appropriate in length,Easy,115999.0,7.0
1369,I am a developer by profession,25-34 years old,"Employed, full-time",In-person,Apples,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Social Media,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine;AI-powered search/dev tool (paid),10,4,"Developer, full-stack",500 to 999 employees,I have some influence,Start a free trial;Ask developers I know/work with;Research companies that have advertised on sites I visit;Other (please specify):,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Integrated developer community;Quality support system;Reputation for quality and excellence;Frequent updates to features;Connected to an open source project;Other:,Finland,EUR European Euro,75000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,HTML/CSS;SQL;TypeScript,HTML/CSS;SQL;TypeScript,InfluxDB;PostgreSQL,PostgreSQL;Redis,PostgreSQL,,,,Express;Next.js;React,Next.js;React,Next.js;React,Arduino;PlatformIO;Rasberry Pi,Arduino;PlatformIO;Rasberry Pi,Arduino;PlatformIO;Rasberry Pi,,,,Ansible;Docker;Podman;Yarn,Ansible;Docker;Podman;Vite,Ansible;Docker;Podman,Visual Studio Code,Visual Studio Code,Visual Studio Code,,,,,,Google Meet;Slack,Google Meet;Slack,Google Meet;Slack,ChatGPT,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers,"No, not really","No, and I don't plan to",,,,,,,,,,,,,,,,Yes,Individual contributor,4.0,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,3-5 times a week,3-5 times a week,1-2 times a week,60-120 minutes a day,30-60 minutes a day,Amount of technical debt;Number of software tools in use;Complexity of tech stack for deployment;Complexity of tech stack for build,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Too long,Easy,80555.0,7.0
1505,I am a developer by profession,45-54 years old,"Employed, full-time",In-person,Apples,Hobby;Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Colleague;School (i.e., University, College, etc);Friend or family member",,,33,25,"Developer, embedded applications or devices","10,000 or more employees",I have little or no influence,Other (please specify):,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Reputation for quality and excellence;Connected to an open source project,Finland,EUR European Euro,85000.0,Assembly;Bash/Shell (all shells);C;HTML/CSS;Perl;Python,Assembly;Bash/Shell (all shells);C;Python;Rust,Assembly;Bash/Shell (all shells);C;Python,MySQL;SQLite,,,Microsoft Azure,Microsoft Azure,Microsoft Azure,,,,CMake;GNU GCC;LLVM's Clang,CMake;Cargo;GNU GCC;LLVM's Clang,CMake;GNU GCC;LLVM's Clang,,,,Pip,Homebrew,,IPython;Neovim;Vim,Emacs;IPython;Vim;Visual Studio Code,IPython;Vim,Arch;BSD;Other Linux-based,Debian,Confluence;Doxygen;Jira;Markdown File;Wikis,Jira;Wikis,Jira;Wikis,IRC;Microsoft Teams,IRC;Microsoft Teams,IRC;Microsoft Teams,ChatGPT,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers,"No, not really","No, and I don't plan to",,,,,,,,,,,,,,,,Yes,Individual contributor,25.0,Strongly agree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,1-2 times a week,3-5 times a week,6-10 times a week,30-60 minutes a day,15-30 minutes a day,Amount of technical debt;Number of software tools in use,Automated testing;Knowledge sharing community;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),A coworker,Manufacturing,0.0,50.0,0.0,30.0,0.0,0.0,0.0,20.0,0.0,Appropriate in length,Neither easy nor difficult,91295.0,8.0
1705,I am a developer by profession,25-34 years old,"Student, part-time;Employed, part-time","Hybrid (some remote, some in-person)",Apples,Hobby;Other (please specify):;School or academic work;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Interactive tutorial;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,14,8,Data engineer,"1,000 to 4,999 employees",I have some influence,Start a free trial;Ask developers I know/work with;Research companies that have advertised on sites I visit,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Integrated developer community;Quality support system;Frequent updates to features,Finland,EUR European Euro,44000.0,HTML/CSS;JavaScript;Python;R;SQL;TypeScript,JavaScript;Python;SQL;TypeScript,JavaScript;Python;SQL;TypeScript,BigQuery;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,BigQuery;Presto;Redis;Snowflake;SQLite;Supabase,BigQuery;Redis;SQLite,Amazon Web Services (AWS);Google Cloud;Vercel,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Hetzner,Amazon Web Services (AWS);Google Cloud,Next.js;Node.js;React;WordPress,Htmx;Next.js;Node.js;React,Next.js;Node.js;React,,,,Apache Spark;GTK;mlflow;NumPy;Pandas;React Native;Scikit-Learn,Hugging Face Transformers;mlflow;NumPy;Pandas;RabbitMQ;React Native;Torch/PyTorch,mlflow;NumPy;Pandas;React Native,Docker;Godot;Homebrew;Pip;pnpm;Terraform;Vite,Docker;Terraform;Vite,Docker;Terraform;Vite,Jupyter Notebook/JupyterLab;Neovim;Visual Studio Code,Jupyter Notebook/JupyterLab;Neovim,Jupyter Notebook/JupyterLab;Neovim,Ubuntu,MacOS,Confluence;Jira;Lucid;Markdown File;Obsidian,Markdown File,Markdown File,Discord;Microsoft Teams;Slack;Zoom,,,GitHub Copilot;Perplexity AI,GitHub Copilot;Perplexity AI,GitHub Copilot;Perplexity AI,Stack Overflow,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not really",Yes,Indifferent,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Neither trust nor distrust,Neither good or bad at handling complex tasks,Writing code;Debugging and getting help;Search for answers;Generating content or synthetic data,Documenting code;Testing code;Committing and reviewing code;Predictive analytics,Learning about a codebase;Project planning;Deployment and monitoring,,,Writing code;Debugging and getting help;Search for answers;Generating content or synthetic data,,,No,Circulating misinformation or disinformation;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",Yes,Individual contributor,8.0,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly disagree,1-2 times a week,3-5 times a week,1-2 times a week,60-120 minutes a day,60-120 minutes a day,Amount of technical debt;Complexity of tech stack for deployment;Complexity of tech stack for build;Reliability of tools/systems used in work,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Internal Developer portal,Retail and Consumer Services,20.0,0.0,0.0,20.0,40.0,5.0,15.0,0.0,0.0,Appropriate in length,Neither easy nor difficult,47259.0,6.0
